,PassengerId,Survived
0,892,0
1,893,1
2,894,0
3,895,1
4,896,1
5,897,1
6,898,0
7,899,1
8,900,0
9,901,1
10,902,1
11,903,1
12,904,0
13,905,1
14,906,0
15,907,1
16,908,0
17,909,0
18,910,1
19,911,0
20,912,1
21,913,0
22,914,0
23,915,0
24,916,1
25,917,1
26,918,0
27,919,0
28,920,0
29,921,1
30,922,1
31,923,1
32,924,1
33,925,1
34,926,1
35,927,0
36,928,1
37,929,1
38,930,1
39,931,1
40,932,1
41,933,1
42,934,1
43,935,1
44,936,0
45,937,1
46,938,1
47,939,0
48,940,0
49,941,1
50,942,0
51,943,0
52,944,1
53,945,1
54,946,1
55,947,0
56,948,1
57,949,1
58,950,1
59,951,0
60,952,1
61,953,1
62,954,1
63,955,0
64,956,1
65,957,1
66,958,0
67,959,1
68,960,0
69,961,1
70,962,0
71,963,1
72,964,1
73,965,0
74,966,1
75,967,0
76,968,1
77,969,1
78,970,1
79,971,0
80,972,1
81,973,0
82,974,1
83,975,1
84,976,0
85,977,1
86,978,0
87,979,1
88,980,0
89,981,1
90,982,0
91,983,1
92,984,1
93,985,1
94,986,1
95,987,1
96,988,0
97,989,0
98,990,1
99,991,1
100,992,0
101,993,1
102,994,0
103,995,1
104,996,1
105,997,1
106,998,0
107,999,0
108,1000,1
109,1001,1
110,1002,1
111,1003,0
112,1004,0
113,1005,0
114,1006,0
115,1007,0
116,1008,1
117,1009,1
118,1010,0
119,1011,1
120,1012,0
121,1013,0
122,1014,1
123,1015,1
124,1016,0
125,1017,0
126,1018,1
127,1019,0
128,1020,1
129,1021,1
130,1022,1
131,1023,1
132,1024,1
133,1025,1
134,1026,1
135,1027,1
136,1028,0
137,1029,1
138,1030,1
139,1031,1
140,1032,1
141,1033,1
142,1034,1
143,1035,1
144,1036,1
145,1037,1
146,1038,1
147,1039,1
148,1040,1
149,1041,1
150,1042,0
151,1043,1
152,1044,1
153,1045,1
154,1046,1
155,1047,1
156,1048,0
157,1049,1
158,1050,1
159,1051,0
160,1052,0
161,1053,1
162,1054,1
163,1055,1
164,1056,1
165,1057,1
166,1058,1
167,1059,1
168,1060,0
169,1061,1
170,1062,1
171,1063,0
172,1064,1
173,1065,0
174,1066,1
175,1067,1
176,1068,1
177,1069,1
178,1070,1
179,1071,0
180,1072,1
181,1073,1
182,1074,1
183,1075,0
184,1076,0
185,1077,1
186,1078,1
187,1079,1
188,1080,1
189,1081,1
190,1082,1
191,1083,1
192,1084,1
193,1085,0
194,1086,1
195,1087,1
196,1088,1
197,1089,1
198,1090,1
199,1091,1
200,1092,0
201,1093,0
202,1094,0
203,1095,1
204,1096,1
205,1097,1
206,1098,0
207,1099,1
208,1100,0
209,1101,1
210,1102,1
211,1103,1
212,1104,1
213,1105,1
214,1106,1
215,1107,1
216,1108,0
217,1109,1
218,1110,1
219,1111,1
220,1112,0
221,1113,1
222,1114,1
223,1115,1
224,1116,0
225,1117,0
226,1118,1
227,1119,0
228,1120,1
229,1121,1
230,1122,1
231,1123,1
232,1124,1
233,1125,0
234,1126,1
235,1127,1
236,1128,0
237,1129,0
238,1130,1
239,1131,0
240,1132,0
241,1133,1
242,1134,1
243,1135,1
244,1136,1
245,1137,1
246,1138,1
247,1139,1
248,1140,1
249,1141,0
250,1142,0
251,1143,1
252,1144,0
253,1145,1
254,1146,1
255,1147,1
256,1148,0
257,1149,1
258,1150,1
259,1151,1
260,1152,1
261,1153,1
262,1154,1
263,1155,1
264,1156,1
265,1157,1
266,1158,1
267,1159,1
268,1160,1
269,1161,1
270,1162,0
271,1163,0
272,1164,0
273,1165,0
274,1166,0
275,1167,1
276,1168,1
277,1169,1
278,1170,0
279,1171,1
280,1172,1
281,1173,1
282,1174,0
283,1175,0
284,1176,1
285,1177,1
286,1178,1
287,1179,0
288,1180,0
289,1181,1
290,1182,0
291,1183,0
292,1184,0
293,1185,1
294,1186,1
295,1187,1
296,1188,0
297,1189,1
298,1190,1
299,1191,1
300,1192,1
301,1193,1
302,1194,1
303,1195,1
304,1196,0
305,1197,1
306,1198,1
307,1199,1
308,1200,1
309,1201,1
310,1202,1
311,1203,0
312,1204,1
313,1205,0
314,1206,0
315,1207,0
316,1208,0
317,1209,1
318,1210,1
319,1211,1
320,1212,1
321,1213,0
322,1214,1
323,1215,1
324,1216,0
325,1217,1
326,1218,1
327,1219,0
328,1220,1
329,1221,1
330,1222,1
331,1223,0
332,1224,0
333,1225,1
334,1226,1
335,1227,1
336,1228,1
337,1229,1
338,1230,1
339,1231,0
340,1232,1
341,1233,1
342,1234,1
343,1235,0
344,1236,0
345,1237,1
346,1238,1
347,1239,0
348,1240,1
349,1241,1
350,1242,0
351,1243,1
352,1244,1
353,1245,1
354,1246,0
355,1247,1
356,1248,1
357,1249,1
358,1250,0
359,1251,1
360,1252,1
361,1253,1
362,1254,1
363,1255,1
364,1256,1
365,1257,1
366,1258,1
367,1259,0
368,1260,0
369,1261,0
370,1262,1
371,1263,1
372,1264,1
373,1265,1
374,1266,1
375,1267,0
376,1268,1
377,1269,1
378,1270,1
379,1271,1
380,1272,0
381,1273,0
382,1274,1
383,1275,1
384,1276,1
385,1277,1
386,1278,1
387,1279,1
388,1280,0
389,1281,1
390,1282,0
391,1283,0
392,1284,1
393,1285,1
394,1286,1
395,1287,1
396,1288,0
397,1289,1
398,1290,1
399,1291,0
400,1292,1
401,1293,1
402,1294,0
403,1295,1
404,1296,1
405,1297,1
406,1298,1
407,1299,0
408,1300,0
409,1301,1
410,1302,0
411,1303,0
412,1304,1
413,1305,1
414,1306,0
415,1307,1
416,1308,1
417,1309,1
